post_id	post_name	status	value
2818	villa-nieves	publish	Large villa for groups
10903	villa-for-sale-with-tourist-licence	private	The buyer can secure an 60,000 (incl IVA) rental guarantee for 3 years including management. A 4.28% return on investment per annum. 
11234	freds-finca-authentic-ibiza-hostal-albergue-yoga-retreat	private	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11400	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11401	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11414	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11415	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11417	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11426	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11431	11234-revision-v1	inherit	Hostal:Albergue: Chilled: Diverse: Yoga: Retreats: Weddings
11454	11234-revision-v1	inherit	Hostal:Albergue located in Salinas National Park.
11455	11234-revision-v1	inherit	 located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11460	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11527	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11528	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11531	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11533	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11534	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11536	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11541	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11559	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11561	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11562	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11564	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11589	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11590	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11597	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11603	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11617	11234-revision-v1	inherit	located in Salinas National Park 5 mins walk to Es Cavellet Beach and Salinas Beach
11668	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11669	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11671	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11672	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11673	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11674	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11675	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11676	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11677	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11678	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11705	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11709	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11720	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11723	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11724	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11726	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11728	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11730	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11731	11234-revision-v1	inherit	is located on Salinas National Park, 5 minutes walk away from Es Cavellet Beach and a further 10 minutes from Salinas Beach.
11773	2818-revision-v1	inherit	Large villa for groups
12509	2818-revision-v1	inherit	Large villa for groups
12511	airstream-trailer-cala-martina	draft	Our Unique Trailer accommodation 
12579	12511-autosave-v1	inherit	A beautiful villa with amazing sea views and sunsets
12932	2818-revision-v1	inherit	Large villa for groups
13009	2818-revision-v1	inherit	Large villa for groups
13105	ibiza-villa-with-beautiful-sea-views	draft	A beautiful villa with amazing sea views and sunsets
13111	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
13164	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13166	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13174	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13175	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13176	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13177	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13178	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13179	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13184	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13192	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13193	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13194	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13195	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13211	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13229	12511-revision-v1	inherit	Our Unique Trailer accommodation 
13232	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
13242	13105-revision-v1	inherit	A beautiful villa with amazing sea views and sunsets
13346	casa-buscastell	draft	Chalet en venta en Santa Gertrudis de Fruitera
13349	jade-apartments	draft	Atico en venta en Platja Cala Llenya
13351	casa-mar	draft	Chalet en venta en Marina Botafoch-Platja de Talamanca
13356	casa-balinesa-2	private	Chalet en venta en Sant Jordi de ses Salines
