post_id	post_name	status	value
2751	villa-maria	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11782	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11834	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11835	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11836	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11837	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11838	2751-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3174	villa-alexa	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11234	freds-finca-authentic-ibiza-hostal-albergue-yoga-retreat	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11731	11234-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
6998	villa-savines	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11861	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
10920	villa-in-ibiza-with-a-private-pool-close-to-blue-marlin	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11907	10920-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11909	10920-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
9998	can-mestre	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
2929	casa-carolle	private	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12402	2929-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4771	can-reiet-beautiful-traditional-villa-in-ibiza	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12403	4771-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4435	villa-torres	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12404	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12405	10920-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3322	villa-tunicu	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12406	3322-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
3524	villa-can-vicente	publish	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12407	3524-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12442	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12445	4435-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12467	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12468	6998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
11056	large-ibiza-villa-walking-distance-to-the-beach	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12471	11056-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12474	11056-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
10838	large-ibiza-villa-rental-close-to-ibiza-town-and-playa-den-bossa	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12475	10838-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12476	10838-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12477	10838-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
4473	private-villa-rental-with-security	draft	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12478	4473-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12483	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
12484	9998-revision-v1	inherit	If you are a large group of 12 or more people please email us at bookings@ibizavillas2000.com
