post_id	post_name	status	value
2751	villa-maria	private	1
2966	villa-paquita	draft	1
3007	casa-galop	private	1
3155	villa-pep-luis-can-pep-mortera	publish	1
3385	villa-los-olivos	private	1
4001	villa-patxi	draft	1
4771	can-reiet-beautiful-traditional-villa-in-ibiza	draft	1
4790	villa-david-can-tastem	draft	1
5610	ibiza-villa-rental-north	private	1
6434	villa-can-marc	draft	1
6629	villa-louisa	draft	1
6998	villa-savines	publish	1
7076	villa-jesus	draft	1
9012	villa-george-san-jordi	draft	1
9082	villa-tegui	publish	1
9792	reyo-de-sol	draft	1
10838	large-ibiza-villa-rental-close-to-ibiza-town-and-playa-den-bossa	draft	1
10920	villa-in-ibiza-with-a-private-pool-close-to-blue-marlin	draft	1
11056	large-ibiza-villa-walking-distance-to-the-beach	draft	1
11576	10920-revision-v1	inherit	1
11584	4771-revision-v1	inherit	1
11585	4771-revision-v1	inherit	1
11586	4771-revision-v1	inherit	1
11757	10838-revision-v1	inherit	1
11761	10838-revision-v1	inherit	1
11768	2751-revision-v1	inherit	1
11776	2966-revision-v1	inherit	1
11777	4001-revision-v1	inherit	1
11781	4771-revision-v1	inherit	1
11782	2751-revision-v1	inherit	1
11826	10920-revision-v1	inherit	1
11834	2751-revision-v1	inherit	1
11835	2751-revision-v1	inherit	1
11836	2751-revision-v1	inherit	1
11837	2751-revision-v1	inherit	1
11838	2751-revision-v1	inherit	1
11861	6998-revision-v1	inherit	1
11907	10920-revision-v1	inherit	1
11909	10920-revision-v1	inherit	1
12403	4771-revision-v1	inherit	1
12405	10920-revision-v1	inherit	1
12467	6998-revision-v1	inherit	1
12468	6998-revision-v1	inherit	1
12471	11056-revision-v1	inherit	1
12474	11056-revision-v1	inherit	1
12475	10838-revision-v1	inherit	1
12476	10838-revision-v1	inherit	1
12477	10838-revision-v1	inherit	1
12483	9998-revision-v1	inherit	1
12484	9998-revision-v1	inherit	1
12485	9998-revision-v1	inherit	1
12486	9998-revision-v1	inherit	1
12487	9998-revision-v1	inherit	1
12488	9998-revision-v1	inherit	1
12489	9998-revision-v1	inherit	1
12490	9998-revision-v1	inherit	1
12493	6998-revision-v1	inherit	1
12496	6998-revision-v1	inherit	1
12497	6998-revision-v1	inherit	1
12500	4771-revision-v1	inherit	1
12502	4001-revision-v1	inherit	1
12506	2751-revision-v1	inherit	1
12511	airstream-trailer-cala-martina	draft	1
12579	12511-autosave-v1	inherit	1
12608	4771-revision-v1	inherit	1
12610	4771-revision-v1	inherit	1
12611	4771-revision-v1	inherit	1
12648	6998-revision-v1	inherit	1
12719	6998-revision-v1	inherit	1
12720	6998-revision-v1	inherit	1
12838	9082-revision-v1	inherit	1
12842	9082-revision-v1	inherit	1
12843	9082-revision-v1	inherit	1
12913	9082-revision-v1	inherit	1
12918	3155-revision-v1	inherit	1
12920	4771-revision-v1	inherit	1
12928	6998-revision-v1	inherit	1
12992	2751-revision-v1	inherit	1
13006	3155-revision-v1	inherit	1
13028	9082-revision-v1	inherit	1
13030	6998-revision-v1	inherit	1
13043	7076-revision-v1	inherit	1
13045	6629-revision-v1	inherit	1
13057	2966-revision-v1	inherit	1
13066	4771-revision-v1	inherit	1
13075	7076-autosave-v1	inherit	1
13076	9792-revision-v1	inherit	1
13079	9012-revision-v1	inherit	1
13082	6629-autosave-v1	inherit	1
13084	4790-revision-v1	inherit	1
13089	6434-revision-v1	inherit	1
13093	9082-revision-v1	inherit	1
13094	9082-revision-v1	inherit	1
13105	ibiza-villa-with-beautiful-sea-views	draft	1
13111	13105-revision-v1	inherit	1
13164	12511-revision-v1	inherit	1
13166	12511-revision-v1	inherit	1
13174	12511-revision-v1	inherit	1
13175	12511-revision-v1	inherit	1
13176	12511-revision-v1	inherit	1
13177	12511-revision-v1	inherit	1
13178	12511-revision-v1	inherit	1
13179	12511-revision-v1	inherit	1
13184	12511-revision-v1	inherit	1
13193	12511-revision-v1	inherit	1
13194	12511-revision-v1	inherit	1
13195	12511-revision-v1	inherit	1
13211	12511-revision-v1	inherit	1
13229	12511-revision-v1	inherit	1
13232	13105-revision-v1	inherit	1
13239	2751-revision-v1	inherit	1
13241	2751-revision-v1	inherit	1
13242	13105-revision-v1	inherit	1
13243	9082-revision-v1	inherit	1
13272	2751-revision-v1	inherit	1
13288	10920-revision-v1	inherit	1
14188	13105-revision-v1	inherit	1
14326	6998-revision-v1	inherit	1
14328	2751-revision-v1	inherit	1
14329	2751-revision-v1	inherit	1
14332	9082-revision-v1	inherit	1
14333	10920-revision-v1	inherit	1
14334	4771-revision-v1	inherit	1
14335	3155-revision-v1	inherit	1
14340	10838-revision-v1	inherit	1
14345	10920-revision-v1	inherit	1
