post_id	post_name	status	price_from	price_to
4327	villa-monte-cristo	draft	4088	8709
4067	villa-km2	publish	3608	8148
4001	villa-patxi	draft	4038	7272
3870	villa-tinto	draft	1755	3900
3174	villa-alexa	publish	3117	7039
3524	villa-can-vicente	publish	3221	7429
3385	villa-los-olivos	private	1833	4233
3322	villa-tunicu	publish	2702	5658
3223	villa-ania	draft	2936	5549
3186	villa-bella-vista	publish	3718	8182
3155	villa-pep-luis-can-pep-mortera	publish	3202	7225
3131	villa-saroca	draft	2690	6200
3091	villa-alberto	private	2549	6892
3054	villa-garcia	draft	2925	7605
3007	casa-galop	private	2035	5952
2966	villa-paquita	draft	2549	6892
2929	casa-carolle	private	2854	7715
2894	villa-tom	publish	2439	6691
2818	villa-nieves	publish	3608	9240
2782	villa-daniel	publish	3456	10995
4435	villa-torres	publish	3244	8766
4473	private-villa-rental-with-security	draft	5445	10285
2751	villa-maria	private	3049	9679
4732	casa-maymo	draft	8050	11500
4771	can-reiet-beautiful-traditional-villa-in-ibiza	draft	2452	5576
4790	villa-david-can-tastem	draft	1990	4565
5092	casa-caleta	draft	1952	4177
5365	casa-josie	draft	1952	4177
5610	ibiza-villa-rental-north	private	3960	6435
6434	villa-can-marc	draft	1755	3900
6629	villa-louisa	draft	1912	5263
6901	villa-oasis	private	3460	7650
6974	casa-can-cortes	draft	1990	4392
6998	villa-savines	publish	6022	15542
7076	villa-jesus	draft	1960	4887
7137	villa-evie	private	1847	6125
7174	the-bali-house	draft	1975	4655
7506	can-stella	draft	7350	11550
9012	villa-george-san-jordi	draft	1800	6000
9082	villa-tegui	publish	4300	9496
9129	villa-omni	draft	14028	2875
9252	can-xocolata	draft	1890	4200
9792	reyo-de-sol	draft	3225	6203
9998	can-mestre	draft	3635	9811
10330	villa-mestre	draft	2000000	
10838	large-ibiza-villa-rental-close-to-ibiza-town-and-playa-den-bossa	draft	2549	6892
10903	villa-for-sale-with-tourist-licence	private	1400000	1400000
10920	villa-in-ibiza-with-a-private-pool-close-to-blue-marlin	draft	2032	4183
11056	large-ibiza-villa-walking-distance-to-the-beach	draft	4000	14000
11234	freds-finca-authentic-ibiza-hostal-albergue-yoga-retreat	private	40	380
11400	11234-revision-v1	inherit	40	380
11401	11234-revision-v1	inherit	40	380
11414	11234-revision-v1	inherit	40	380
11415	11234-revision-v1	inherit	40	380
11417	11234-revision-v1	inherit	40	380
11426	11234-revision-v1	inherit	40	380
11431	11234-revision-v1	inherit	40	380
11454	11234-revision-v1	inherit	40	380
11455	11234-revision-v1	inherit	40	380
11460	11234-revision-v1	inherit	40	380
11527	11234-revision-v1	inherit	40	380
11528	11234-revision-v1	inherit	40	380
11531	11234-revision-v1	inherit	40	380
11533	11234-revision-v1	inherit	40	380
11534	11234-revision-v1	inherit	40	380
11536	11234-revision-v1	inherit	40	380
11541	11234-revision-v1	inherit	40	380
11559	11234-revision-v1	inherit	40	380
11561	11234-revision-v1	inherit	40	380
11562	11234-revision-v1	inherit	40	380
11564	11234-revision-v1	inherit	40	380
11576	10920-revision-v1	inherit	1430	3300
11584	4771-revision-v1	inherit	2054	4324
11585	4771-revision-v1	inherit	2054	4324
11586	4771-revision-v1	inherit	2054	4324
11589	11234-revision-v1	inherit	40	380
11590	11234-revision-v1	inherit	40	380
11597	11234-revision-v1	inherit	40	380
11603	11234-revision-v1	inherit	40	380
11617	11234-revision-v1	inherit	40	380
