post_id	post_name	status	display	has_text
3007	casa-galop	private	0	yes
4732	casa-maymo	draft	0	yes
4975	casa-alexandra	draft	0	yes
5610	ibiza-villa-rental-north	private	0	yes
6901	villa-oasis	private	0	yes
13041	4732-revision-v1	inherit	0	yes
13081	6901-revision-v1	inherit	0	yes
13350	13349-revision-v1	inherit	0	yes
13352	13351-revision-v1	inherit	0	yes
13357	13356-revision-v1	inherit	0	yes
13397	13349-revision-v1	inherit	0	yes
16827	4732-revision-v1	inherit	0	yes
16828	4732-revision-v1	inherit	0	yes
17314	4732-revision-v1	inherit	0	yes
3870	villa-tinto	draft	1	no
3174	villa-alexa	publish	1	no
2751	villa-maria	private	1	no
2782	villa-daniel	publish	1	no
4001	villa-patxi	draft	1	no
3385	villa-los-olivos	private	1	no
3223	villa-ania	draft	1	no
3186	villa-bella-vista	publish	1	no
3131	villa-saroca	draft	1	no
3091	villa-alberto	private	1	no
2929	casa-carolle	private	1	no
2894	villa-tom	publish	1	no
4435	villa-torres	publish	1	no
4790	villa-david-can-tastem	draft	1	no
5092	casa-caleta	draft	1	no
5365	casa-josie	draft	1	no
6434	villa-can-marc	draft	1	no
6629	villa-louisa	draft	1	no
7076	villa-jesus	draft	1	no
9792	reyo-de-sol	draft	1	no
11739	2894-revision-v1	inherit	1	no
11740	2894-revision-v1	inherit	1	no
11763	2782-revision-v1	inherit	1	no
11766	2894-revision-v1	inherit	1	no
11768	2751-revision-v1	inherit	1	no
11770	2929-revision-v1	inherit	1	no
11777	4001-revision-v1	inherit	1	no
11782	2751-revision-v1	inherit	1	no
11786	4435-revision-v1	inherit	1	no
11798	3091-revision-v1	inherit	1	no
11834	2751-revision-v1	inherit	1	no
11835	2751-revision-v1	inherit	1	no
11836	2751-revision-v1	inherit	1	no
11837	2751-revision-v1	inherit	1	no
11838	2751-revision-v1	inherit	1	no
12402	2929-revision-v1	inherit	1	no
12404	4435-revision-v1	inherit	1	no
12442	4435-revision-v1	inherit	1	no
12445	4435-revision-v1	inherit	1	no
12502	4001-revision-v1	inherit	1	no
12504	3091-revision-v1	inherit	1	no
12506	2751-revision-v1	inherit	1	no
12507	2782-revision-v1	inherit	1	no
12508	4435-revision-v1	inherit	1	no
12719	6998-revision-v1	inherit	1	no
12733	4435-revision-v1	inherit	1	no
12857	3174-revision-v1	inherit	1	no
12859	3174-revision-v1	inherit	1	no
12902	2894-revision-v1	inherit	1	no
12904	2894-revision-v1	inherit	1	no
12922	3174-revision-v1	inherit	1	no
12924	2929-revision-v1	inherit	1	no
12926	2782-revision-v1	inherit	1	no
12930	4435-revision-v1	inherit	1	no
12992	2751-revision-v1	inherit	1	no
13014	3870-revision-v1	inherit	1	no
13024	3174-revision-v1	inherit	1	no
13038	4435-revision-v1	inherit	1	no
13043	7076-revision-v1	inherit	1	no
13045	6629-revision-v1	inherit	1	no
13048	3223-revision-v1	inherit	1	no
13055	5092-revision-v1	inherit	1	no
13063	3131-revision-v1	inherit	1	no
13068	2929-revision-v1	inherit	1	no
13075	7076-autosave-v1	inherit	1	no
13076	9792-revision-v1	inherit	1	no
13082	6629-autosave-v1	inherit	1	no
13083	3223-autosave-v1	inherit	1	no
13084	4790-revision-v1	inherit	1	no
13086	5365-revision-v1	inherit	1	no
13089	6434-revision-v1	inherit	1	no
13224	3186-autosave-v1	inherit	1	no
13239	2751-revision-v1	inherit	1	no
13241	2751-revision-v1	inherit	1	no
13250	2894-revision-v1	inherit	1	no
13272	2751-revision-v1	inherit	1	no
13284	2894-revision-v1	inherit	1	no
13304	3186-revision-v1	inherit	1	no
14273	3186-revision-v1	inherit	1	no
14300	3186-revision-v1	inherit	1	no
14302	3186-revision-v1	inherit	1	no
14303	3186-revision-v1	inherit	1	no
14328	2751-revision-v1	inherit	1	no
14329	2751-revision-v1	inherit	1	no
14331	4435-revision-v1	inherit	1	no
14339	2782-revision-v1	inherit	1	no
14341	2929-revision-v1	inherit	1	no
14342	3174-revision-v1	inherit	1	no
14350	3174-revision-v1	inherit	1	no
14351	2929-revision-v1	inherit	1	no
14353	2782-revision-v1	inherit	1	no
14364	4435-revision-v1	inherit	1	no
14394	2751-revision-v1	inherit	1	no
14403	3174-revision-v1	inherit	1	no
14516	3186-revision-v1	inherit	1	no
14517	3186-revision-v1	inherit	1	no
14582	2894-revision-v1	inherit	1	no
14589	4001-revision-v1	inherit	1	no
14590	3174-revision-v1	inherit	1	no
14591	2929-revision-v1	inherit	1	no
14594	2782-revision-v1	inherit	1	no
14595	4435-revision-v1	inherit	1	no
14598	3186-revision-v1	inherit	1	no
14599	2751-revision-v1	inherit	1	no
14608	3186-revision-v1	inherit	1	no
14636	3174-revision-v1	inherit	1	no
14642	3174-revision-v1	inherit	1	no
14733	3186-revision-v1	inherit	1	no
14879	2894-revision-v1	inherit	1	no
14883	4001-revision-v1	inherit	1	no
14884	2929-revision-v1	inherit	1	no
14885	4435-revision-v1	inherit	1	no
16696	3174-revision-v1	inherit	1	no
16697	3174-revision-v1	inherit	1	no
16698		draft	1	no
16758	2782-revision-v1	inherit	1	no
16760	4435-revision-v1	inherit	1	no
17252	3186-revision-v1	inherit	1	no
17268	3186-revision-v1	inherit	1	no
17283	2782-revision-v1	inherit	1	no
17288	3186-revision-v1	inherit	1	no
17290	2894-revision-v1	inherit	1	no
17296	3174-revision-v1	inherit	1	no
17297	4435-revision-v1	inherit	1	no
